"HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","QZ5","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
92.5,100,92.5,90,100,95,85,90,80,12,87.5,66.6666666666667,65,20,66.4,63,100,83,70,93.125,73.0555555555556,100,82.9958333333333,"B"
87.5,100,92.5,90,95,91,90,95,100,11,83.3333333333333,66.6666666666667,82.5,17,72,81,85,90,90,94.1875,77.5,100,90.38125,"A"
93.5,95,97.5,100,100,76,95,90,80,12,100,77.7777777777778,75,13,76.8,75.15,65,96,83.5,93.875,84.2592592592593,100,90.8763888888889,"A"
75,82.5,100,100,90,88,84,87.5,100,12,91.6666666666667,88.8888888888889,70,18,76.8,76.5,90,96,85,91.5,83.5185185185185,100,90.4277777777778,"A"
87.5,62.5,80,70,100,96,92,100,70,12,58.3333333333333,66.6666666666667,60,15,58.4,54.9,75,73,61,86.9375,61.6666666666667,100,75.18125,"C"
90,90,72.5,90,100,97,100,95,100,12,83.3333333333333,61.1111111111111,65,13,55.2,41.4,65,69,46,95.25,69.8148148148148,100,74.3472222222222,"C"
70,90,90,80,69.5,54,82,0,100,9,50,38.8888888888889,40,8,37.6,43.2,40,47,48,79.4375,42.962962962963,60,57.6756944444444,"D"
95,85,90,50,56,86,92,75,55,12,87.5,77.7777777777778,45,15,42.4,27,75,53,30,79.25,70.0925925925926,100,62.3888888888889,"C-"
82.5,100,97.5,90,91.25,99,97,100,100,12,91.6666666666667,88.8888888888889,90,20,67.2,73.8,100,84,82,96.84375,90.1851851851852,100,89.8809027777778,"A-"
95,100,100,90,95,99,97,80,100,12,100,94.4444444444444,90,19,70.4,83.25,95,88,92.5,97,94.8148148148148,100,94.0472222222222,"A"
100,100,97.5,100,100,95,100,100,60,12,95.8333333333333,61.1111111111111,75,14,55.2,69.3,70,69,77,99.0625,77.3148148148148,100,84.3659722222222,"B"
67.5,100,100,90,95,90,100,90,100,12,100,77.7777777777778,70,20,71.2,83.7,100,89,93,95.625,82.5925925925926,100,92.1263888888889,"A"
92.5,85,92.5,100,100,93,91,90,75,12,95.8333333333333,83.3333333333333,75,14,66.4,80.1,70,83,89,93,84.7222222222222,100,89.4583333333333,"A-"
80,85,92.5,0,95,66,80.5,67.5,100,12,66.6666666666667,88.8888888888889,85,16,49.6,62.55,80,62,69.5,83.3125,80.1851851851852,100,76.7965277777778,"C"
0,77.5,100,80,100,90,80,0,65,12,87.5,94.4444444444444,75,17,34.4,69.3,85,43,77,74.0625,85.6481481481482,100,72.9159722222222,"C"
92.5,95,85,100,100,99,89,100,100,12,91.6666666666667,100,75,20,67.2,70.2,100,84,78,96.9375,88.8888888888889,100,88.7145833333333,"A-"
90,95,100,100,100,99,100,80,85,12,100,100,75,20,71.2,76.5,100,89,85,96.125,91.6666666666667,100,91.6375,"A"
87.5,77.5,97.5,90,97,96,90,80,80,12,95.8333333333333,0,55,16,56,60.75,80,70,67.5,89.75,55.6111111111111,100,76.1416666666667,"C"
92.5,100,100,100,95,99,94,99,95,12,75,100,85,19,70.4,77.4,95,88,86,97.75,86.6666666666667,100,91.425,"A"
95,98,92.5,70,95,98,100,100,98,12,100,77.7777777777778,50,18,68.8,70.2,90,86,78,97.0625,75.9259259259259,100,87.2076388888889,"B+"
82,100,91.5,100,100,90,100,70,96,12,50,77.7777777777778,60,19,55.2,63.9,95,69,71,94.9375,62.5925925925926,100,79.4201388888889,"C+"
82.5,100,85,75,95,86,26,45,65,12,33.3333333333333,55.5555555555556,50,17,36.8,36,85,46,40,79.1875,46.2962962962963,100,59.9006944444444,"D"
90,95,100,100,100,96,100,95,100,12,66.6666666666667,94.4444444444444,75,18,44.8,63,90,56,70,98.25,78.7037037037037,100,79.9805555555556,"B-"
87.5,77.5,100,80,85,99,100,100,85,11,66.6666666666667,55.5555555555556,25,12,38.4,40.95,60,48,45.5,92.0625,49.0740740740741,100,65.9548611111111,"C-"
74,100,85,90,90,96,86,90,98,12,91.6666666666667,77.7777777777778,75,18,60.8,76.05,90,76,84.5,91.875,81.4814814814815,100,86.1097222222222,"B+"
80,60,95,80,85,91,68,80,67.5,12,41.6666666666667,61.1111111111111,55,16,36.8,45,80,46,50,80.8125,52.5925925925926,100,63.8326388888889,"C-"
